name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Челси	Кардифф Сити	0.6	0.4	1.0	0.6	1.0	0.7	0.7	0.5	0.0	0.0
Арсенал	Манчестер Сити	0.5	0.9	0.5	0.6	1.0	0.32065217391304346	0.4666666666666667	0.5	0.8571428571428572	0.9047619047619048
Арсенал	Ливерпуль	0.9	0.7	1.0	1.0	0.8	0.54	0.5526315789473684	0.75	0.0	0.0
Арсенал	Челси	0.7	0.8	0.5	1.0	0.2	0.4227272727272727	0.4732142857142857	0.0	1.0	1.0
Арсенал	Эвертон	0.8	0.7	0.5	1.0	1.0	0.6136363636363636	0.6346153846153846	0.5	0.0	0.0
Арсенал	Манчестер Юнайтед	0.7	0.5	0.5	1.0	0.2	0.5833333333333334	0.6891891891891893	0.25	0.9743589743589745	0.8974358974358975
Арсенал	Саутгемптон	0.7	0.8	1.0	1.0	1.0	0.532258064516129	0.5714285714285714	0.75	0.0	0.0
Арсенал	Ньюкасл Юнайтед	0.6	0.0	1.0	1.0	1.0	0.6799999999999999	0.74	1.0	1.0	1.0
Арсенал	Кристал Пэлас	0.9	0.5	1.0	1.0	1.0	0.773972602739726	0.9264705882352942	0.5	0.9777777777777776	0.9777777777777776
Арсенал	Суонси Сити	0.5	0.2	0.5	0.4	1.0	0.6404494382022472	0.8666666666666667	1.0	0.9666666666666668	0.9666666666666668
Арсенал	Вест Хэм Юнайтед	0.4	0.4	1.0	1.0	1.0	0.6223404255319149	0.7596153846153846	1.0	1.0	1.0
Арсенал	Сандерленд	0.6	0.7	1.0	1.0	1.0	0.7397260273972602	0.9324324324324323	1.0	0.9722222222222222	0.4166666666666666
Арсенал	Халл Сити	0.8	0.4	1.0	1.0	0.2	0.7560975609756098	0.8043478260869565	1.0	0.0	0.0
Арсенал	Вест Бромвич Альбион	0.7	0.6	1.0	1.0	1.0	0.6730769230769231	0.87	0.5	1.0	1.0
Арсенал	Норвич Сити	0.9	0.4	1.0	1.0	1.0	0.75	0.8	0.5	0.0	0.0
Арсенал	Фулхэм	0.9	0.4	1.0	1.0	1.0	0.8833333333333333	0.967741935483871	1.0	0.9803921568627452	0.9803921568627452
Арсенал	Кардифф Сити	0.6	0.3	1.0	1.0	1.0	0.8090909090909091	0.9285714285714286	0.5	0.9824561403508772	0.9649122807017544
Эвертон	Манчестер Сити	0.6	0.7	0.0	1.0	1.0	0.315	0.42	0.5	1.0	1.0
Эвертон	Ливерпуль	0.6	0.7	0.5	1.0	1.0	0.3870967741935484	0.4285714285714286	0.5	1.0	1.0
Эвертон	Арсенал	1.0	0.4	1.0	1.0	0.8	0.4947916666666667	0.4574468085106383	0.25	0.8333333333333334	0.7777777777777778
Эвертон	Тоттенхэм Хотспур	0.8	0.7	0.5	1.0	0.4	0.5	0.4772727272727273	0.75	0.0	0.0
Эвертон	Манчестер Юнайтед	0.8	0.6	1.0	1.0	1.0	0.515625	0.59375	0.5	1.0	1.0
Эвертон	Саутгемптон	0.7	0.4	1.0	0.0	1.0	0.5454545454545454	0.6296296296296297	0.75	0.9666666666666668	0.8833333333333333
