name1	name2	form1	form2	result
Манчестер Юнайтед	Кардифф Сити	0.6	0.1	1
Саутгемптон	Манчестер Сити	0.3	0.8	0.5
Саутгемптон	Ливерпуль	0.6	0.9	0
Саутгемптон	Челси	0.4	0.7	0
Саутгемптон	Арсенал	0.5	1.0	0.5
Саутгемптон	Эвертон	0.3	0.8	1
Саутгемптон	Тоттенхэм Хотспур	0.2	0.5	0
Саутгемптон	Манчестер Юнайтед	0.5	0.6	0.5
Саутгемптон	Сток Сити	0.6	0.3	0.5
Саутгемптон	Ньюкасл Юнайтед	0.4	0.6	1
Саутгемптон	Кристал Пэлас	0.6	0.2	1
Саутгемптон	Суонси Сити	0.6	0.5	1
Саутгемптон	Астон Вилла	0.5	0.5	0
Саутгемптон	Халл Сити	0.8	0.5	1
Саутгемптон	Вест Бромвич Альбион	0.3	0.5	1
Саутгемптон	Норвич Сити	0.5	0.4	1
Саутгемптон	Фулхэм	0.8	0.5	1
Саутгемптон	Кардифф Сити	0.6	0.3	0
Сток Сити	Ливерпуль	0.4	0.6	0
Сток Сити	Челси	0.5	0.7	1
Сток Сити	Арсенал	0.4	0.6	1
Сток Сити	Эвертон	0.5	0.7	0.5
Сток Сити	Тоттенхэм Хотспур	0.7	0.7	0
Сток Сити	Манчестер Юнайтед	0.1	0.6	1
Сток Сити	Саутгемптон	0.1	0.9	0.5
Сток Сити	Ньюкасл Юнайтед	0.7	0.2	1
Сток Сити	Суонси Сити	0.3	0.4	0.5
Сток Сити	Вест Хэм Юнайтед	0.5	0.8	1
Сток Сити	Сандерленд	0.3	0.4	1
Сток Сити	Астон Вилла	0.6	0.4	1
Сток Сити	Халл Сити	0.7	0.4	1
Сток Сити	Вест Бромвич Альбион	0.3	0.6	0.5
Сток Сити	Норвич Сити	0.5	0.3	0
Сток Сити	Фулхэм	0.5	0.5	1
Сток Сити	Кардифф Сити	0.4	0.4	0.5
Ньюкасл Юнайтед	Манчестер Сити	0.5	1.0	0
Ньюкасл Юнайтед	Ливерпуль	0.6	0.7	0.5
Ньюкасл Юнайтед	Челси	0.3	0.9	1
Ньюкасл Юнайтед	Арсенал	0.7	0.6	0
Ньюкасл Юнайтед	Эвертон	0.6	0.6	0
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0.3	0.7	0
Ньюкасл Юнайтед	Манчестер Юнайтед	0.4	0.6	0
Ньюкасл Юнайтед	Саутгемптон	0.8	0.3	0.5
Ньюкасл Юнайтед	Сток Сити	0.7	0.6	1
Ньюкасл Юнайтед	Кристал Пэлас	0.4	0.4	1
Ньюкасл Юнайтед	Суонси Сити	0.2	0.3	0
Ньюкасл Юнайтед	Сандерленд	0.3	0.6	0
Ньюкасл Юнайтед	Астон Вилла	0.3	0.4	1
Ньюкасл Юнайтед	Вест Бромвич Альбион	0.7	0.5	1
Ньюкасл Юнайтед	Норвич Сити	0.7	0.3	1
Ньюкасл Юнайтед	Кардифф Сити	0.0	0.4	1
Кристал Пэлас	Манчестер Сити	1.0	0.6	0
Кристал Пэлас	Ливерпуль	0.8	0.8	0.5
Кристал Пэлас	Челси	0.2	0.8	1
Кристал Пэлас	Арсенал	0.0	0.9	0
Кристал Пэлас	Эвертон	0.0	0.7	0.5
Кристал Пэлас	Манчестер Юнайтед	0.6	0.4	0
Кристал Пэлас	Саутгемптон	0.5	0.5	0
Кристал Пэлас	Сток Сити	0.3	0.3	1
Кристал Пэлас	Ньюкасл Юнайтед	0.6	0.7	0
Кристал Пэлас	Вест Хэм Юнайтед	0.3	0.4	1
Кристал Пэлас	Астон Вилла	0.5	0.4	1
Кристал Пэлас	Халл Сити	0.5	0.2	1
Кристал Пэлас	Вест Бромвич Альбион	0.5	0.4	1
Кристал Пэлас	Норвич Сити	0.4	0.4	0.5
Кристал Пэлас	Фулхэм	0.2	0.3	0
Кристал Пэлас	Кардифф Сити	0.5	0.4	1
Суонси Сити	Манчестер Сити	0.3	0.9	0
Суонси Сити	Челси	0.3	0.6	0
Суонси Сити	Арсенал	0.5	0.8	0
Суонси Сити	Эвертон	0.6	0.8	0
Суонси Сити	Тоттенхэм Хотспур	0.1	0.9	0
Суонси Сити	Саутгемптон	0.6	0.5	0
Суонси Сити	Сток Сити	0.3	0.2	0.5
Суонси Сити	Ньюкасл Юнайтед	0.4	0.8	1
Суонси Сити	Кристал Пэлас	0.5	0.6	0.5
Суонси Сити	Вест Хэм Юнайтед	0.5	0.3	0.5
Суонси Сити	Сандерленд	0.5	0.0	1
Суонси Сити	Астон Вилла	0.5	0.1	1
Суонси Сити	Халл Сити	0.5	0.4	0.5
Суонси Сити	Вест Бромвич Альбион	0.4	0.3	0
