name1	name2	concentration1	concentration2
Манчестер Юнайтед	Суонси Сити	1.0	1.0
Манчестер Юнайтед	Вест Хэм Юнайтед	1.0	1.0
Манчестер Юнайтед	Сандерленд	1.0	1.0
Манчестер Юнайтед	Астон Вилла	1.0	1.0
Манчестер Юнайтед	Халл Сити	0.0	1.0
Манчестер Юнайтед	Вест Бромвич Альбион	1.0	1.0
Манчестер Юнайтед	Норвич Сити	1.0	1.0
Манчестер Юнайтед	Фулхэм	0.0	1.0
Манчестер Юнайтед	Кардифф Сити	1.0	1.0
Саутгемптон	Манчестер Сити	1.0	0.6
Саутгемптон	Ливерпуль	1.0	1.0
Саутгемптон	Челси	1.0	0.8
Саутгемптон	Арсенал	1.0	1.0
Саутгемптон	Эвертон	0.19999999999999996	1.0
Саутгемптон	Тоттенхэм Хотспур	1.0	1.0
Саутгемптон	Манчестер Юнайтед	0.6	0.19999999999999996
Саутгемптон	Сток Сити	1.0	0.4
Саутгемптон	Ньюкасл Юнайтед	1.0	0.4
Саутгемптон	Кристал Пэлас	0.4	1.0
Саутгемптон	Суонси Сити	0.6	1.0
Саутгемптон	Вест Хэм Юнайтед	0.0	1.0
Саутгемптон	Сандерленд	1.0	1.0
Саутгемптон	Астон Вилла	1.0	1.0
Саутгемптон	Халл Сити	1.0	1.0
Саутгемптон	Вест Бромвич Альбион	1.0	1.0
Саутгемптон	Норвич Сити	1.0	1.0
Саутгемптон	Фулхэм	1.0	1.0
Саутгемптон	Кардифф Сити	1.0	1.0
Сток Сити	Манчестер Сити	1.0	0.19999999999999996
Сток Сити	Ливерпуль	1.0	1.0
Сток Сити	Челси	1.0	0.8
Сток Сити	Арсенал	1.0	1.0
Сток Сити	Эвертон	1.0	0.19999999999999996
Сток Сити	Тоттенхэм Хотспур	1.0	1.0
Сток Сити	Манчестер Юнайтед	0.19999999999999996	1.0
Сток Сити	Саутгемптон	1.0	1.0
Сток Сити	Ньюкасл Юнайтед	1.0	0.8
Сток Сити	Кристал Пэлас	1.0	1.0
Сток Сити	Суонси Сити	0.6	1.0
Сток Сити	Вест Хэм Юнайтед	1.0	1.0
Сток Сити	Сандерленд	1.0	1.0
Сток Сити	Астон Вилла	1.0	0.19999999999999996
Сток Сити	Халл Сити	1.0	1.0
Сток Сити	Вест Бромвич Альбион	1.0	1.0
Сток Сити	Норвич Сити	1.0	1.0
Сток Сити	Фулхэм	1.0	1.0
Сток Сити	Кардифф Сити	1.0	1.0
Ньюкасл Юнайтед	Манчестер Сити	1.0	1.0
Ньюкасл Юнайтед	Ливерпуль	0.4	0.4
Ньюкасл Юнайтед	Челси	0.0	1.0
Ньюкасл Юнайтед	Арсенал	1.0	1.0
Ньюкасл Юнайтед	Эвертон	0.19999999999999996	1.0
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0.19999999999999996	1.0
Ньюкасл Юнайтед	Манчестер Юнайтед	0.6	1.0
Ньюкасл Юнайтед	Саутгемптон	1.0	1.0
Ньюкасл Юнайтед	Сток Сити	1.0	1.0
