name1	name2	goal_diff	score_diff
Манчестер Сити	Ливерпуль	0.5816326530612245	0.4807692307692308
Манчестер Сити	Челси	0.5954545454545455	0.5357142857142857
Манчестер Сити	Арсенал	0.5795454545454546	0.3888888888888889
Манчестер Сити	Эвертон	0.6176470588235294	0.4285714285714286
Манчестер Сити	Тоттенхэм Хотспур	0.703125	0.47619047619047616
Манчестер Сити	Манчестер Юнайтед	0.5384615384615384	0.5
Манчестер Сити	Саутгемптон	0.7287234042553191	0.7021276595744681
Манчестер Сити	Сток Сити	0.8767123287671232	0.8648648648648649
Манчестер Сити	Ньюкасл Юнайтед	0.5	0.5
Манчестер Сити	Кристал Пэлас	0.9795918367346939	0.9230769230769231
Манчестер Сити	Суонси Сити	0.7763157894736843	0.6458333333333334
Манчестер Сити	Вест Хэм Юнайтед	0.8333333333333333	0.9056603773584906
Манчестер Сити	Сандерленд	0.9202127659574468	0.9326923076923077
Манчестер Сити	Астон Вилла	0.8557692307692308	0.9117647058823529
Манчестер Сити	Халл Сити	0.7857142857142857	0.5
Манчестер Сити	Вест Бромвич Альбион	0.8385416666666667	0.8725490196078431
Манчестер Сити	Норвич Сити	0.8400000000000001	0.7105263157894737
Манчестер Сити	Фулхэм	1.0	0.9285714285714286
Манчестер Сити	Кардифф Сити	0.9583333333333333	0.967741935483871
Ливерпуль	Манчестер Сити	0.4736842105263158	0.5408163265306123
Ливерпуль	Челси	0.5561224489795918	0.5490196078431373
Ливерпуль	Арсенал	0.5208333333333334	0.3888888888888889
Ливерпуль	Эвертон	0.6363636363636364	0.5588235294117647
Ливерпуль	Тоттенхэм Хотспур	0.7445652173913043	0.6333333333333333
Ливерпуль	Манчестер Юнайтед	0.4444444444444444	0.6428571428571428
Ливерпуль	Саутгемптон	0.65	0.7777777777777778
Ливерпуль	Ньюкасл Юнайтед	0.8009259259259259	0.8018867924528301
Ливерпуль	Кристал Пэлас	0.7941176470588236	0.8571428571428572
Ливерпуль	Суонси Сити	0.75	0.8205128205128205
Ливерпуль	Вест Хэм Юнайтед	0.686046511627907	0.7692307692307692
Ливерпуль	Сандерленд	0.8181818181818181	0.9107142857142857
Ливерпуль	Астон Вилла	0.7666666666666666	0.8064516129032258
Ливерпуль	Халл Сити	0.7	0.7321428571428572
Ливерпуль	Вест Бромвич Альбион	0.5961538461538461	0.6944444444444444
Ливерпуль	Норвич Сити	0.7560975609756098	0.717391304347826
Ливерпуль	Фулхэм	0.6875	0.7272727272727273
Ливерпуль	Кардифф Сити	0.8297872340425532	0.8076923076923077
Челси	Манчестер Сити	0.46153846153846156	0.5238095238095238
Челси	Ливерпуль	0.4363636363636364	0.5185185185185185
Челси	Арсенал	0.5506329113924051	0.5476190476190477
Челси	Эвертон	0.6095890410958904	0.6621621621621622
Челси	Тоттенхэм Хотспур	0.6710526315789473	0.6190476190476191
Челси	Манчестер Юнайтед	0.578125	0.6363636363636364
Челси	Саутгемптон	0.5394736842105263	0.5416666666666666
Челси	Сток Сити	0.7446808510638298	0.8085106382978724
Челси	Ньюкасл Юнайтед	0.6597222222222222	0.7222222222222222
Челси	Кристал Пэлас	0.7840909090909092	0.8148148148148149
Челси	Суонси Сити	0.6428571428571428	0.7692307692307692
Челси	Вест Хэм Юнайтед	0.7575757575757576	0.9558823529411764
Челси	Сандерленд	0.8563829787234043	0.9803921568627452
Челси	Астон Вилла	0.5	0.5
Челси	Халл Сити	0.5	0.5
Челси	Вест Бромвич Альбион	0.625	0.6590909090909091
Челси	Норвич Сити	0.8605769230769231	0.96
Челси	Фулхэм	0.7	0.6666666666666666
Челси	Кардифф Сити	0.7	0.7
Арсенал	Манчестер Сити	0.32065217391304346	0.4666666666666667
Арсенал	Ливерпуль	0.54	0.5526315789473684
Арсенал	Челси	0.42272727272727273	0.4732142857142857
Арсенал	Эвертон	0.6136363636363636	0.6346153846153846
Арсенал	Тоттенхэм Хотспур	0.3888888888888889	0.2857142857142857
Арсенал	Манчестер Юнайтед	0.5833333333333334	0.6891891891891893
Арсенал	Саутгемптон	0.532258064516129	0.5714285714285714
Арсенал	Сток Сити	0.5769230769230769	0.6111111111111112
Арсенал	Ньюкасл Юнайтед	0.6799999999999999	0.74
Арсенал	Кристал Пэлас	0.773972602739726	0.9264705882352942
Арсенал	Суонси Сити	0.6404494382022472	0.8666666666666667
Арсенал	Вест Хэм Юнайтед	0.6223404255319149	0.7596153846153846
Арсенал	Сандерленд	0.7397260273972602	0.9324324324324325
Арсенал	Халл Сити	0.7560975609756098	0.8043478260869565
Арсенал	Вест Бромвич Альбион	0.6730769230769231	0.87
Арсенал	Норвич Сити	0.75	0.8
Арсенал	Фулхэм	0.8833333333333333	0.967741935483871
Арсенал	Кардифф Сити	0.8090909090909091	0.9285714285714286
Эвертон	Манчестер Сити	0.315	0.42
Эвертон	Ливерпуль	0.3870967741935484	0.4285714285714286
Эвертон	Челси	0.3125	0.25
Эвертон	Арсенал	0.4947916666666667	0.4574468085106383
Эвертон	Тоттенхэм Хотспур	0.5	0.4772727272727273
Эвертон	Манчестер Юнайтед	0.515625	0.59375
Эвертон	Саутгемптон	0.5454545454545454	0.6296296296296297
Эвертон	Сток Сити	0.5789473684210527	0.6904761904761905
Эвертон	Ньюкасл Юнайтед	0.6470588235294118	0.5714285714285714
Эвертон	Кристал Пэлас	0.6968085106382979	0.7788461538461539
Эвертон	Суонси Сити	0.6075949367088608	0.7619047619047619
Эвертон	Вест Хэм Юнайтед	0.5878378378378378	0.6794871794871795
Эвертон	Сандерленд	0.8163265306122449	0.9615384615384616
Эвертон	Астон Вилла	0.6214285714285714	0.7142857142857143
Эвертон	Халл Сити	0.55	0.5333333333333333
Эвертон	Вест Бромвич Альбион	0.5625	0.5833333333333334
Эвертон	Норвич Сити	0.7636363636363637	0.7903225806451613
Эвертон	Фулхэм	0.7386363636363636	0.7777777777777778
Эвертон	Кардифф Сити	0.75	0.7555555555555555
Тоттенхэм Хотспур	Манчестер Сити	0.23484848484848486	0.3970588235294118
Тоттенхэм Хотспур	Ливерпуль	0.3191489361702128	0.4423076923076923
Тоттенхэм Хотспур	Челси	0.5	0.5909090909090909
Тоттенхэм Хотспур	Арсенал	0.3481012658227848	0.4285714285714286
Тоттенхэм Хотспур	Эвертон	0.4097222222222222	0.4864864864864865
Тоттенхэм Хотспур	Манчестер Юнайтед	0.39473684210526316	0.4791666666666667
Тоттенхэм Хотспур	Саутгемптон	0.4606741573033708	0.5888888888888889
Тоттенхэм Хотспур	Сток Сити	0.5272727272727272	0.6851851851851851
Тоттенхэм Хотспур	Ньюкасл Юнайтед	0.59375	0.6428571428571428
Тоттенхэм Хотспур	Кристал Пэлас	0.6363636363636364	0.8225806451612903
Тоттенхэм Хотспур	Суонси Сити	0.75	0.75
Тоттенхэм Хотспур	Вест Хэм Юнайтед	0.625	0.7666666666666666
