name1	name2	motivation1	motivation2
Манчестер Юнайтед	Эвертон	0	0
Манчестер Юнайтед	Тоттенхэм Хотспур	0.9649122807017544	0.9649122807017544
Манчестер Юнайтед	Саутгемптон	0	0
Манчестер Юнайтед	Сток Сити	0	0
Манчестер Юнайтед	Ньюкасл Юнайтед	0	0
Манчестер Юнайтед	Кристал Пэлас	0	0
Манчестер Юнайтед	Суонси Сити	0.9444444444444444	0.9444444444444444
Манчестер Юнайтед	Вест Хэм Юнайтед	0.9696969696969697	0.9848484848484849
Манчестер Юнайтед	Сандерленд	1	1
Манчестер Юнайтед	Астон Вилла	0.7619047619047619	0.7142857142857143
Манчестер Юнайтед	Халл Сити	1	1
Манчестер Юнайтед	Вест Бромвич Альбион	0	0
Манчестер Юнайтед	Норвич Сити	1	1
Манчестер Юнайтед	Фулхэм	0.9047619047619048	0.9047619047619048
Манчестер Юнайтед	Кардифф Сити	0.8958333333333334	0.9791666666666666
Саутгемптон	Манчестер Сити	0	0
Саутгемптон	Ливерпуль	0.8181818181818181	0.9696969696969697
Саутгемптон	Челси	0.8771929824561403	0.9824561403508771
Саутгемптон	Арсенал	0.7708333333333334	0.9791666666666666
Саутгемптон	Эвертон	1	1
Саутгемптон	Тоттенхэм Хотспур	0.9090909090909091	0.9545454545454546
Саутгемптон	Манчестер Юнайтед	1	1
Саутгемптон	Сток Сити	0.7857142857142857	0.9523809523809523
Саутгемптон	Ньюкасл Юнайтед	0.47619047619047616	0.5238095238095237
Саутгемптон	Кристал Пэлас	0	0
Саутгемптон	Суонси Сити	0	0
Саутгемптон	Вест Хэм Юнайтед	0	0
Саутгемптон	Сандерленд	0	0
Саутгемптон	Астон Вилла	0	0
Саутгемптон	Халл Сити	0	0
Саутгемптон	Вест Бромвич Альбион	0.8333333333333334	0.9444444444444444
Саутгемптон	Норвич Сити	0.7777777777777778	0.8518518518518519
Саутгемптон	Фулхэм	0	0
Саутгемптон	Кардифф Сити	1	1
Сток Сити	Манчестер Сити	0	0
Сток Сити	Ливерпуль	0.9259259259259259	0.9814814814814815
Сток Сити	Челси	0	0
Сток Сити	Арсенал	0.9393939393939394	0.9696969696969697
Сток Сити	Эвертон	0.9122807017543859	0.9824561403508771
Сток Сити	Тоттенхэм Хотспур	1	1
Сток Сити	Манчестер Юнайтед	0.9777777777777777	0.9555555555555556
Сток Сити	Саутгемптон	0	0
Сток Сити	Ньюкасл Юнайтед	1	1
Сток Сити	Кристал Пэлас	0	0
Сток Сити	Суонси Сити	0.641025641025641	0.8461538461538461
Сток Сити	Вест Хэм Юнайтед	0.7777777777777778	0.7777777777777778
Сток Сити	Сандерленд	0	0
Сток Сити	Астон Вилла	0.9393939393939394	0.9242424242424242
Сток Сити	Халл Сити	0.5714285714285714	0.7619047619047619
Сток Сити	Вест Бромвич Альбион	0	0
Сток Сити	Норвич Сити	0	0
Сток Сити	Фулхэм	1	1
Сток Сити	Кардифф Сити	0	0
Ньюкасл Юнайтед	Манчестер Сити	0.8888888888888888	0.9814814814814815
Ньюкасл Юнайтед	Ливерпуль	0	0
Ньюкасл Юнайтед	Челси	0	0
Ньюкасл Юнайтед	Арсенал	0.9833333333333333	0.9666666666666667
Ньюкасл Юнайтед	Эвертон	0.7333333333333334	0.9333333333333333
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0.7948717948717949	0.9487179487179487
Ньюкасл Юнайтед	Манчестер Юнайтед	0.4444444444444444	0.8888888888888888
Ньюкасл Юнайтед	Саутгемптон	0.9855072463768116	0.9420289855072463
Ньюкасл Юнайтед	Сток Сити	0.9365079365079365	0.8888888888888888
Ньюкасл Юнайтед	Кристал Пэлас	0.6666666666666667	0.875
Ньюкасл Юнайтед	Суонси Сити	1	1
Ньюкасл Юнайтед	Вест Хэм Юнайтед	0	0
Ньюкасл Юнайтед	Сандерленд	1	1
Ньюкасл Юнайтед	Астон Вилла	0.7777777777777778	0.9166666666666666
Ньюкасл Юнайтед	Халл Сити	0	0
Ньюкасл Юнайтед	Вест Бромвич Альбион	0	0
Ньюкасл Юнайтед	Норвич Сити	0	0
Ньюкасл Юнайтед	Фулхэм	0	0
Ньюкасл Юнайтед	Кардифф Сити	1	1
Кристал Пэлас	Манчестер Сити	1	1
Кристал Пэлас	Ливерпуль	1	1
Кристал Пэлас	Челси	0.8571428571428572	0.9523809523809523
Кристал Пэлас	Арсенал	0	0
Кристал Пэлас	Эвертон	0	0
Кристал Пэлас	Тоттенхэм Хотспур	0	0
Кристал Пэлас	Манчестер Юнайтед	0.9444444444444444	0.9166666666666666
Кристал Пэлас	Саутгемптон	0.9333333333333333	0.7
Кристал Пэлас	Сток Сити	0.9803921568627451	0.9215686274509804
Кристал Пэлас	Ньюкасл Юнайтед	0.9848484848484849	0.9393939393939394
Кристал Пэлас	Суонси Сити	0	0
Кристал Пэлас	Вест Хэм Юнайтед	0	0
Кристал Пэлас	Сандерленд	0	0
Кристал Пэлас	Астон Вилла	1	1
Кристал Пэлас	Халл Сити	0.9166666666666666	0.9166666666666666
Кристал Пэлас	Вест Бромвич Альбион	0.9761904761904762	0.9761904761904762
Кристал Пэлас	Норвич Сити	0.6842105263157895	0.9473684210526316
Кристал Пэлас	Фулхэм	0	0
Кристал Пэлас	Кардифф Сити	0	0
Суонси Сити	Манчестер Сити	0.9122807017543859	0.9824561403508771
Суонси Сити	Ливерпуль	0	0
Суонси Сити	Челси	1	1
Суонси Сити	Арсенал	0	0
Суонси Сити	Эвертон	0.9090909090909091	0.9848484848484849
Суонси Сити	Тоттенхэм Хотспур	0.9607843137254902	0.9803921568627451
Суонси Сити	Манчестер Юнайтед	0	0
Суонси Сити	Саутгемптон	1	1
Суонси Сити	Сток Сити	0	0
Суонси Сити	Ньюкасл Юнайтед	0	0
Суонси Сити	Кристал Пэлас	0.9090909090909091	0.9696969696969697
Суонси Сити	Вест Хэм Юнайтед	0	0
Суонси Сити	Сандерленд	0	0
Суонси Сити	Астон Вилла	1	1
Суонси Сити	Халл Сити	0	0
Суонси Сити	Вест Бромвич Альбион	0.8518518518518519	0.14814814814814814
Суонси Сити	Норвич Сити	0.9047619047619048	0.8095238095238095
Суонси Сити	Фулхэм	0.9583333333333334	0.9791666666666666
Суонси Сити	Кардифф Сити	0.9761904761904762	0.9761904761904762
Вест Хэм Юнайтед	Манчестер Сити	0	0
Вест Хэм Юнайтед	Ливерпуль	0.7222222222222222	0.9444444444444444
Вест Хэм Юнайтед	Челси	0	0
Вест Хэм Юнайтед	Арсенал	0.9841269841269842	0.9841269841269842
Вест Хэм Юнайтед	Эвертон	0	0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	1	1
Вест Хэм Юнайтед	Манчестер Юнайтед	0.875	0.875
Вест Хэм Юнайтед	Саутгемптон	0.8888888888888888	0.8333333333333334
Вест Хэм Юнайтед	Сток Сити	0	0
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.5686274509803921	0.8627450980392157
Вест Хэм Юнайтед	Кристал Пэлас	1	1
Вест Хэм Юнайтед	Суонси Сити	0.9555555555555556	0.9333333333333333
Вест Хэм Юнайтед	Сандерленд	0.7971014492753623	0.927536231884058
Вест Хэм Юнайтед	Астон Вилла	0	0
Вест Хэм Юнайтед	Халл Сити	0.9	0.8333333333333333
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.9666666666666667	0.9833333333333333
Вест Хэм Юнайтед	Норвич Сити	0.9743589743589743	0.9743589743589743
Вест Хэм Юнайтед	Фулхэм	0	0
Вест Хэм Юнайтед	Кардифф Сити	0	0
Сандерленд	Манчестер Сити	0	0
Сандерленд	Ливерпуль	0	0
Сандерленд	Челси	0	0
Сандерленд	Арсенал	0	0
Сандерленд	Эвертон	1	1
Сандерленд	Тоттенхэм Хотспур	0	0
Сандерленд	Манчестер Юнайтед	0	0
Сандерленд	Саутгемптон	0.9803921568627451	0.803921568627451
Сандерленд	Сток Сити	0.9791666666666666	0.9375
Сандерленд	Ньюкасл Юнайтед	1	1
Сандерленд	Кристал Пэлас	0.962962962962963	0.9259259259259259
Сандерленд	Суонси Сити	1	1
Сандерленд	Вест Хэм Юнайтед	0.9523809523809523	0.7619047619047619
Сандерленд	Астон Вилла	0.9649122807017544	0.9298245614035088
Сандерленд	Халл Сити	0.9761904761904762	0.9761904761904762
Сандерленд	Вест Бромвич Альбион	0.9393939393939394	0.9696969696969697
Сандерленд	Норвич Сити	0.9393939393939394	0.9393939393939394
Сандерленд	Фулхэм	0	0
Сандерленд	Кардифф Сити	1	1
Астон Вилла	Манчестер Сити	0	0
Астон Вилла	Ливерпуль	0	0
Астон Вилла	Челси	0.7777777777777778	0.7407407407407407
Астон Вилла	Арсенал	0.962962962962963	0.9444444444444444
Астон Вилла	Эвертон	0	0
Астон Вилла	Тоттенхэм Хотспур	0	0
Астон Вилла	Манчестер Юнайтед	0.927536231884058	0.927536231884058
Астон Вилла	Саутгемптон	1	1
Астон Вилла	Сток Сити	0.75	0.75
Астон Вилла	Ньюкасл Юнайтед	0	0
Астон Вилла	Кристал Пэлас	0.9206349206349206	0.9841269841269842
Астон Вилла	Суонси Сити	0.95	0.9333333333333333
Астон Вилла	Вест Хэм Юнайтед	0.9047619047619048	0.9761904761904762
Астон Вилла	Сандерленд	0	0
Астон Вилла	Халл Сити	1	1
Астон Вилла	Вест Бромвич Альбион	0.8958333333333334	0.9375
Астон Вилла	Норвич Сити	0.9090909090909091	0.9090909090909091
Астон Вилла	Фулхэм	0.7222222222222222	0.8888888888888888
Астон Вилла	Кардифф Сити	0	0
Халл Сити	Манчестер Сити	0.8148148148148148	0.9259259259259259
Халл Сити	Ливерпуль	0	0
Халл Сити	Челси	0.9074074074074074	0.9814814814814815
Халл Сити	Арсенал	1	1
Халл Сити	Эвертон	1	1
Халл Сити	Тоттенхэм Хотспур	0.9555555555555556	0.9777777777777777
Халл Сити	Манчестер Юнайтед	0.9047619047619048	0.9682539682539683
Халл Сити	Саутгемптон	0.9230769230769231	0.7692307692307692
Халл Сити	Сток Сити	0.927536231884058	0.9420289855072463
Халл Сити	Ньюкасл Юнайтед	0.8484848484848485	0.8484848484848485
