name1	name2	history	result
Вест Бромвич Альбион	Челси	0.5	1
Вест Бромвич Альбион	Арсенал	0.0	0
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.25	0
Вест Бромвич Альбион	Эвертон	0.0	1
Вест Бромвич Альбион	Ливерпуль	0.5	1
Вест Бромвич Альбион	Суонси Сити	0.0	1
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.5	0.5
Вест Бромвич Альбион	Норвич Сити	0.0	1
Вест Бромвич Альбион	Фулхэм	0.25	0
Вест Бромвич Альбион	Сток Сити	0.5	0
Вест Бромвич Альбион	Астон Вилла	0.5	0.5
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.0	0.5
Вест Бромвич Альбион	Сандерленд	1.0	1
Вест Бромвич Альбион	Уиган Атлетик	0.75	0
Вест Бромвич Альбион	Рединг	0.25	1
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.75	1
Суонси Сити	Манчестер Юнайтед	0.0	0.5
Суонси Сити	Манчестер Сити	0.5	0.5
Суонси Сити	Челси	0.25	0.5
Суонси Сити	Арсенал	0.25	0
Суонси Сити	Тоттенхэм Хотспур	0.0	0
Суонси Сити	Эвертон	0.0	0
Суонси Сити	Ливерпуль	1.0	0.5
Суонси Сити	Вест Бромвич Альбион	1.0	1
Суонси Сити	Норвич Сити	0.0	0
Суонси Сити	Фулхэм	1.0	0
Суонси Сити	Сток Сити	0.0	1
Суонси Сити	Саутгемптон	0.25	0.5
Суонси Сити	Астон Вилла	0.5	0.5
Суонси Сити	Ньюкасл Юнайтед	0.5	1
Суонси Сити	Сандерленд	0.25	0.5
Суонси Сити	Уиган Атлетик	0.75	1
Суонси Сити	Куинз Парк Рейнджерс	0.5	1
Вест Хэм Юнайтед	Манчестер Юнайтед	0.25	0.5
Вест Хэм Юнайтед	Манчестер Сити	0.0	0.5
Вест Хэм Юнайтед	Челси	0.0	1
Вест Хэм Юнайтед	Арсенал	0.0	0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.25	0
Вест Хэм Юнайтед	Эвертон	0.5	0
Вест Хэм Юнайтед	Ливерпуль	0.5	0
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.5	1
Вест Хэм Юнайтед	Суонси Сити	0.0	1
Вест Хэм Юнайтед	Норвич Сити	0.25	1
Вест Хэм Юнайтед	Фулхэм	0.75	1
Вест Хэм Юнайтед	Сток Сити	0.5	0.5
Вест Хэм Юнайтед	Астон Вилла	0.0	1
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.5	0.5
Вест Хэм Юнайтед	Сандерленд	0.0	0.5
Вест Хэм Юнайтед	Уиган Атлетик	0.0	1
Вест Хэм Юнайтед	Рединг	0.25	1
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	0.5	0.5
Норвич Сити	Манчестер Юнайтед	0.0	1
Норвич Сити	Манчестер Сити	0.0	0
Норвич Сити	Челси	0.25	0
Норвич Сити	Арсенал	0.25	1
Норвич Сити	Тоттенхэм Хотспур	0.75	0.5
Норвич Сити	Эвертон	0.5	1
Норвич Сити	Ливерпуль	0.25	0
Норвич Сити	Вест Бромвич Альбион	0.5	1
Норвич Сити	Суонси Сити	1.0	0.5
Норвич Сити	Фулхэм	0.0	0.5
Норвич Сити	Сток Сити	0.25	1
Норвич Сити	Саутгемптон	0.25	0.5
Норвич Сити	Астон Вилла	0.25	0
Норвич Сити	Ньюкасл Юнайтед	0.0	0.5
Норвич Сити	Сандерленд	0.5	1
Норвич Сити	Уиган Атлетик	0.5	1
Норвич Сити	Рединг	0.25	1
Норвич Сити	Куинз Парк Рейнджерс	1.0	0.5
Фулхэм	Манчестер Юнайтед	0.0	0
Фулхэм	Манчестер Сити	0.25	0
Фулхэм	Челси	0.5	0
Фулхэм	Арсенал	0.75	0
Фулхэм	Тоттенхэм Хотспур	0.0	0
Фулхэм	Эвертон	0.0	0.5
Фулхэм	Ливерпуль	0.5	0
Фулхэм	Вест Бромвич Альбион	0.5	1
Фулхэм	Суонси Сити	0.0	0
Фулхэм	Вест Хэм Юнайтед	0.0	1
Фулхэм	Норвич Сити	0.75	1
Фулхэм	Сток Сити	0.5	1
Фулхэм	Саутгемптон	0.25	0.5
Фулхэм	Астон Вилла	0.25	1
Фулхэм	Ньюкасл Юнайтед	0.5	1
Фулхэм	Сандерленд	0.75	0
Фулхэм	Уиган Атлетик	1.0	0.5
Фулхэм	Рединг	0.75	0
Фулхэм	Куинз Парк Рейнджерс	0.5	1
Сток Сити	Манчестер Юнайтед	0.0	0
Сток Сити	Манчестер Сити	0.25	0.5
Сток Сити	Челси	0.0	0
Сток Сити	Арсенал	0.25	0.5
Сток Сити	Тоттенхэм Хотспур	0.5	0
Сток Сити	Эвертон	0.75	0.5
Сток Сити	Ливерпуль	0.25	1
Сток Сити	Вест Бромвич Альбион	0.5	0.5
Сток Сити	Суонси Сити	0.5	1
Сток Сити	Вест Хэм Юнайтед	0.75	0
Сток Сити	Норвич Сити	0.5	1
Сток Сити	Фулхэм	0.5	1
Сток Сити	Астон Вилла	0.5	0
Сток Сити	Ньюкасл Юнайтед	0.0	1
Сток Сити	Сандерленд	0.0	0.5
Сток Сити	Уиган Атлетик	0.25	0.5
Сток Сити	Рединг	0.25	1
Сток Сити	Куинз Парк Рейнджерс	0.0	1
Саутгемптон	Манчестер Сити	0.0	1
Саутгемптон	Челси	0.25	1
Саутгемптон	Арсенал	0.0	0.5
Саутгемптон	Эвертон	0.0	0.5
Саутгемптон	Ливерпуль	0.0	1
Саутгемптон	Вест Бромвич Альбион	0.0	0
Саутгемптон	Вест Хэм Юнайтед	0.0	0.5
Саутгемптон	Сток Сити	0.25	0.5
Саутгемптон	Куинз Парк Рейнджерс	0.5	0
Астон Вилла	Манчестер Юнайтед	0.0	0
Астон Вилла	Манчестер Сити	0.5	0
Астон Вилла	Челси	0.0	0
Астон Вилла	Арсенал	0.0	0.5
Астон Вилла	Тоттенхэм Хотспур	0.25	0
Астон Вилла	Эвертон	0.5	0
Астон Вилла	Ливерпуль	0.75	0
Астон Вилла	Вест Бромвич Альбион	0.25	0.5
Астон Вилла	Суонси Сити	0.25	1
Астон Вилла	Вест Хэм Юнайтед	0.5	1
Астон Вилла	Норвич Сити	0.5	0.5
Астон Вилла	Фулхэм	0.5	0.5
Астон Вилла	Сток Сити	0.5	0.5
Астон Вилла	Саутгемптон	0.0	0
Астон Вилла	Ньюкасл Юнайтед	0.25	0
Астон Вилла	Сандерленд	0.75	1
Астон Вилла	Уиган Атлетик	0.75	0
Астон Вилла	Рединг	1.0	1
Астон Вилла	Куинз Парк Рейнджерс	0.5	1
Ньюкасл Юнайтед	Манчестер Юнайтед	0.5	0
Ньюкасл Юнайтед	Манчестер Сити	0.0	0
Ньюкасл Юнайтед	Челси	0.5	1
Ньюкасл Юнайтед	Арсенал	0.0	0
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0.25	1
Ньюкасл Юнайтед	Эвертон	0.25	0
Ньюкасл Юнайтед	Ливерпуль	0.75	0
