name1	name2	concentration1	concentration2
Ливерпуль	Вест Хэм Юнайтед	0.19999999999999996	0.8
Ливерпуль	Норвич Сити	1.0	1.0
Ливерпуль	Фулхэм	1.0	1.0
Ливерпуль	Сток Сити	1.0	1.0
Ливерпуль	Саутгемптон	1.0	1.0
Ливерпуль	Астон Вилла	1.0	1.0
Ливерпуль	Ньюкасл Юнайтед	1.0	1.0
Ливерпуль	Сандерленд	1.0	1.0
Ливерпуль	Уиган Атлетик	1.0	1.0
Ливерпуль	Рединг	1.0	1.0
Ливерпуль	Куинз Парк Рейнджерс	1.0	1.0
Вест Бромвич Альбион	Манчестер Юнайтед	0.0	1.0
Вест Бромвич Альбион	Манчестер Сити	0.6	1.0
Вест Бромвич Альбион	Челси	1.0	1.0
Вест Бромвич Альбион	Арсенал	1.0	1.0
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.4	1.0
Вест Бромвич Альбион	Эвертон	1.0	1.0
Вест Бромвич Альбион	Ливерпуль	1.0	1.0
Вест Бромвич Альбион	Суонси Сити	1.0	1.0
Вест Бромвич Альбион	Вест Хэм Юнайтед	1.0	1.0
Вест Бромвич Альбион	Норвич Сити	1.0	1.0
Вест Бромвич Альбион	Фулхэм	1.0	1.0
Вест Бромвич Альбион	Сток Сити	1.0	1.0
Вест Бромвич Альбион	Саутгемптон	1.0	1.0
Вест Бромвич Альбион	Астон Вилла	0.0	1.0
Вест Бромвич Альбион	Ньюкасл Юнайтед	1.0	1.0
Вест Бромвич Альбион	Сандерленд	0.8	1.0
Вест Бромвич Альбион	Уиган Атлетик	1.0	1.0
Вест Бромвич Альбион	Рединг	0.0	1.0
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.4	1.0
Суонси Сити	Манчестер Юнайтед	1.0	1.0
Суонси Сити	Манчестер Сити	1.0	1.0
Суонси Сити	Челси	1.0	1.0
Суонси Сити	Арсенал	1.0	1.0
Суонси Сити	Тоттенхэм Хотспур	1.0	0.0
Суонси Сити	Эвертон	0.0	1.0
Суонси Сити	Ливерпуль	1.0	1.0
Суонси Сити	Вест Бромвич Альбион	1.0	1.0
Суонси Сити	Вест Хэм Юнайтед	1.0	1.0
Суонси Сити	Норвич Сити	1.0	1.0
Суонси Сити	Фулхэм	1.0	0.19999999999999996
Суонси Сити	Сток Сити	1.0	1.0
Суонси Сити	Саутгемптон	1.0	1.0
Суонси Сити	Астон Вилла	1.0	1.0
Суонси Сити	Ньюкасл Юнайтед	1.0	1.0
Суонси Сити	Сандерленд	1.0	1.0
Суонси Сити	Уиган Атлетик	0.6	1.0
Суонси Сити	Рединг	0.4	1.0
Суонси Сити	Куинз Парк Рейнджерс	1.0	1.0
Вест Хэм Юнайтед	Манчестер Юнайтед	1.0	1.0
Вест Хэм Юнайтед	Манчестер Сити	0.0	1.0
Вест Хэм Юнайтед	Челси	1.0	1.0
Вест Хэм Юнайтед	Арсенал	1.0	1.0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.0	1.0
Вест Хэм Юнайтед	Эвертон	1.0	1.0
Вест Хэм Юнайтед	Ливерпуль	1.0	1.0
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.6	1.0
Вест Хэм Юнайтед	Суонси Сити	1.0	1.0
Вест Хэм Юнайтед	Норвич Сити	1.0	1.0
Вест Хэм Юнайтед	Фулхэм	1.0	0.0
Вест Хэм Юнайтед	Сток Сити	0.4	1.0
Вест Хэм Юнайтед	Саутгемптон	1.0	1.0
Вест Хэм Юнайтед	Астон Вилла	1.0	1.0
Вест Хэм Юнайтед	Ньюкасл Юнайтед	1.0	1.0
Вест Хэм Юнайтед	Сандерленд	1.0	1.0
Вест Хэм Юнайтед	Уиган Атлетик	1.0	1.0
Вест Хэм Юнайтед	Рединг	1.0	1.0
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	1.0	1.0
Норвич Сити	Манчестер Юнайтед	1.0	1.0
Норвич Сити	Манчестер Сити	1.0	0.0
Норвич Сити	Челси	1.0	1.0
Норвич Сити	Арсенал	1.0	1.0
Норвич Сити	Тоттенхэм Хотспур	1.0	1.0
Норвич Сити	Эвертон	1.0	1.0
Норвич Сити	Ливерпуль	1.0	1.0
Норвич Сити	Вест Бромвич Альбион	1.0	0.19999999999999996
Норвич Сити	Суонси Сити	1.0	1.0
Норвич Сити	Вест Хэм Юнайтед	1.0	1.0
Норвич Сити	Фулхэм	1.0	1.0
Норвич Сити	Сток Сити	1.0	1.0
Норвич Сити	Саутгемптон	1.0	1.0
Норвич Сити	Астон Вилла	1.0	1.0
Норвич Сити	Ньюкасл Юнайтед	1.0	1.0
Норвич Сити	Сандерленд	1.0	1.0
Норвич Сити	Уиган Атлетик	1.0	1.0
Норвич Сити	Рединг	1.0	1.0
Норвич Сити	Куинз Парк Рейнджерс	1.0	1.0
Фулхэм	Манчестер Юнайтед	1.0	1.0
Фулхэм	Манчестер Сити	0.6	1.0
Фулхэм	Челси	1.0	0.19999999999999996
Фулхэм	Арсенал	1.0	1.0
Фулхэм	Тоттенхэм Хотспур	1.0	0.8
Фулхэм	Эвертон	1.0	1.0
Фулхэм	Ливерпуль	0.0	1.0
Фулхэм	Вест Бромвич Альбион	0.19999999999999996	1.0
Фулхэм	Суонси Сити	1.0	1.0
Фулхэм	Вест Хэм Юнайтед	1.0	1.0
Фулхэм	Норвич Сити	1.0	1.0
Фулхэм	Сток Сити	1.0	1.0
Фулхэм	Саутгемптон	1.0	1.0
Фулхэм	Астон Вилла	1.0	1.0
Фулхэм	Ньюкасл Юнайтед	1.0	1.0
Фулхэм	Сандерленд	1.0	1.0
Фулхэм	Уиган Атлетик	1.0	1.0
Фулхэм	Рединг	1.0	1.0
Фулхэм	Куинз Парк Рейнджерс	1.0	1.0
Сток Сити	Манчестер Юнайтед	1.0	1.0
Сток Сити	Манчестер Сити	1.0	1.0
Сток Сити	Челси	1.0	0.0
Сток Сити	Арсенал	1.0	1.0
Сток Сити	Тоттенхэм Хотспур	1.0	1.0
Сток Сити	Эвертон	1.0	0.8
Сток Сити	Ливерпуль	1.0	1.0
Сток Сити	Вест Бромвич Альбион	1.0	1.0
Сток Сити	Суонси Сити	1.0	0.19999999999999996
Сток Сити	Вест Хэм Юнайтед	1.0	0.19999999999999996
Сток Сити	Норвич Сити	1.0	1.0
Сток Сити	Фулхэм	1.0	1.0
Сток Сити	Саутгемптон	1.0	1.0
Сток Сити	Астон Вилла	1.0	1.0
Сток Сити	Ньюкасл Юнайтед	1.0	1.0
Сток Сити	Сандерленд	1.0	1.0
Сток Сити	Уиган Атлетик	1.0	1.0
Сток Сити	Рединг	1.0	1.0
Сток Сити	Куинз Парк Рейнджерс	1.0	1.0
Саутгемптон	Манчестер Юнайтед	1.0	1.0
Саутгемптон	Манчестер Сити	1.0	1.0
Саутгемптон	Челси	1.0	0.8
Саутгемптон	Арсенал	1.0	1.0
Саутгемптон	Тоттенхэм Хотспур	1.0	1.0
Саутгемптон	Эвертон	1.0	1.0
Саутгемптон	Ливерпуль	1.0	1.0
Саутгемптон	Вест Бромвич Альбион	1.0	1.0
Саутгемптон	Суонси Сити	1.0	1.0
Саутгемптон	Вест Хэм Юнайтед	1.0	1.0
Саутгемптон	Норвич Сити	1.0	1.0
Саутгемптон	Фулхэм	1.0	0.8
Саутгемптон	Сток Сити	1.0	1.0
Саутгемптон	Астон Вилла	1.0	1.0
Саутгемптон	Ньюкасл Юнайтед	1.0	1.0
