name1	name2	form1	form2	result
Арсенал	Астон Вилла	0.7	0.4	1
Арсенал	Ньюкасл Юнайтед	0.7	0.4	1
Арсенал	Уиган Атлетик	0.8	0.3	1
Арсенал	Рединг	0.8	0.0	1
Арсенал	Куинз Парк Рейнджерс	0.5	0.2	1
Тоттенхэм Хотспур	Манчестер Юнайтед	0.8	0.9	0.5
Тоттенхэм Хотспур	Манчестер Сити	0.5	0.8	1
Тоттенхэм Хотспур	Челси	0.9	0.9	0
Тоттенхэм Хотспур	Арсенал	0.8	0.9	1
Тоттенхэм Хотспур	Эвертон	0.6	0.6	0.5
Тоттенхэм Хотспур	Ливерпуль	0.4	0.6	1
Тоттенхэм Хотспур	Суонси Сити	0.6	0.7	1
Тоттенхэм Хотспур	Вест Хэм Юнайтед	0.2	0.6	1
Тоттенхэм Хотспур	Фулхэм	0.8	0.6	0
Тоттенхэм Хотспур	Сток Сити	0.8	0.8	0.5
Тоттенхэм Хотспур	Саутгемптон	0.6	0.6	1
Тоттенхэм Хотспур	Астон Вилла	0.8	0.4	1
Тоттенхэм Хотспур	Ньюкасл Юнайтед	0.7	0.5	1
Тоттенхэм Хотспур	Сандерленд	0.8	0.6	1
Тоттенхэм Хотспур	Уиган Атлетик	0.8	0.3	0
Тоттенхэм Хотспур	Рединг	0.7	0.3	1
Эвертон	Манчестер Сити	0.5	0.6	1
Эвертон	Челси	0.8	0.7	0
Эвертон	Арсенал	0.5	0.6	0.5
Эвертон	Тоттенхэм Хотспур	0.5	0.6	1
Эвертон	Ливерпуль	0.7	0.6	0.5
Эвертон	Вест Бромвич Альбион	0.6	0.3	1
Эвертон	Суонси Сити	0.7	0.5	0.5
Эвертон	Вест Хэм Юнайтед	0.6	0.5	1
Эвертон	Норвич Сити	0.5	0.8	0.5
Эвертон	Фулхэм	0.6	0.3	1
Эвертон	Сток Сити	0.5	0.3	1
Эвертон	Саутгемптон	0.7	0.2	1
Эвертон	Астон Вилла	0.6	0.2	0.5
Эвертон	Сандерленд	0.6	0.4	1
Эвертон	Уиган Атлетик	0.7	0.1	1
Эвертон	Рединг	0.4	0.5	1
Эвертон	Куинз Парк Рейнджерс	0.7	0.5	1
Ливерпуль	Челси	0.6	0.8	0.5
Ливерпуль	Тоттенхэм Хотспур	0.6	0.9	1
Ливерпуль	Эвертон	0.7	0.6	0.5
Ливерпуль	Вест Бромвич Альбион	0.6	0.1	0
Ливерпуль	Суонси Сити	0.4	0.6	1
Ливерпуль	Вест Хэм Юнайтед	0.8	0.4	0.5
Ливерпуль	Норвич Сити	0.6	0.1	1
Ливерпуль	Фулхэм	0.5	0.3	1
Ливерпуль	Сток Сити	0.4	0.5	0.5
Ливерпуль	Саутгемптон	0.5	0.6	1
Ливерпуль	Астон Вилла	0.7	0.5	0
Ливерпуль	Ньюкасл Юнайтед	0.6	0.6	0.5
Ливерпуль	Сандерленд	0.6	0.6	1
Ливерпуль	Уиган Атлетик	0.6	0.5	1
Ливерпуль	Рединг	0.4	0.2	1
Ливерпуль	Куинз Парк Рейнджерс	0.7	0.1	1
Вест Бромвич Альбион	Манчестер Юнайтед	0.3	0.6	0.5
Вест Бромвич Альбион	Манчестер Сити	0.7	0.8	0
Вест Бромвич Альбион	Челси	0.6	0.6	1
Вест Бромвич Альбион	Арсенал	0.5	0.8	0
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.1	0.7	0
Вест Бромвич Альбион	Суонси Сити	0.4	0.5	1
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.4	0.3	0.5
Вест Бромвич Альбион	Норвич Сити	0.3	0.8	1
Вест Бромвич Альбион	Фулхэм	0.5	0.3	0
Вест Бромвич Альбион	Сток Сити	0.8	0.7	0
Вест Бромвич Альбион	Саутгемптон	0.5	0.3	1
Вест Бромвич Альбион	Астон Вилла	0.4	0.1	0.5
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.3	0.4	0.5
Вест Бромвич Альбион	Сандерленд	0.3	0.5	1
Вест Бромвич Альбион	Уиган Атлетик	0.4	0.4	0
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.6	0.2	1
Суонси Сити	Манчестер Юнайтед	0.5	1.0	0.5
Суонси Сити	Манчестер Сити	0.2	0.8	0.5
Суонси Сити	Челси	0.3	0.8	0.5
Суонси Сити	Арсенал	0.4	0.7	0
Суонси Сити	Тоттенхэм Хотспур	0.4	0.6	0
Суонси Сити	Ливерпуль	0.6	0.7	0.5
Суонси Сити	Вест Бромвич Альбион	0.5	0.8	1
Суонси Сити	Норвич Сити	0.8	0.7	0
Суонси Сити	Фулхэм	0.4	0.0	0
Суонси Сити	Сток Сити	0.6	0.4	1
Суонси Сити	Саутгемптон	0.3	0.8	0.5
Суонси Сити	Астон Вилла	0.4	0.3	0.5
Суонси Сити	Ньюкасл Юнайтед	0.5	0.6	1
Суонси Сити	Уиган Атлетик	0.2	0.2	1
Суонси Сити	Рединг	0.5	0.1	0.5
Суонси Сити	Куинз Парк Рейнджерс	0.5	0.6	1
Вест Хэм Юнайтед	Манчестер Юнайтед	0.6	0.8	0.5
Вест Хэм Юнайтед	Манчестер Сити	0.5	0.9	0.5
Вест Хэм Юнайтед	Челси	0.4	0.4	1
Вест Хэм Юнайтед	Арсенал	0.6	0.6	0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.3	0.7	0
Вест Хэм Юнайтед	Эвертон	0.3	0.6	0
Вест Хэм Юнайтед	Ливерпуль	0.5	0.6	0
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.4	0.7	1
Вест Хэм Юнайтед	Суонси Сити	0.3	0.7	1
Вест Хэм Юнайтед	Норвич Сити	0.3	0.4	1
Вест Хэм Юнайтед	Сток Сити	0.5	0.4	0.5
Вест Хэм Юнайтед	Саутгемптон	0.6	0.3	1
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.5	0.3	0.5
Вест Хэм Юнайтед	Уиган Атлетик	0.5	0.5	1
Вест Хэм Юнайтед	Рединг	0.4	0.4	1
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	0.3	0.3	0.5
Норвич Сити	Манчестер Юнайтед	0.6	1.0	1
Норвич Сити	Манчестер Сити	0.6	0.5	0
Норвич Сити	Челси	0.7	0.6	0
Норвич Сити	Арсенал	0.2	0.7	1
Норвич Сити	Тоттенхэм Хотспур	0.1	0.8	0.5
Норвич Сити	Эвертон	0.4	0.5	1
Норвич Сити	Ливерпуль	0.3	0.2	0
Норвич Сити	Вест Бромвич Альбион	0.3	0.3	1
Норвич Сити	Суонси Сити	0.4	0.2	0.5
Норвич Сити	Фулхэм	0.3	0.5	0.5
Норвич Сити	Сток Сити	0.3	0.4	1
Норвич Сити	Саутгемптон	0.5	0.3	0.5
Норвич Сити	Астон Вилла	0.3	0.5	0
Норвич Сити	Ньюкасл Юнайтед	0.2	0.2	0.5
Норвич Сити	Сандерленд	0.7	0.3	1
Норвич Сити	Уиган Атлетик	0.8	0.3	1
Норвич Сити	Рединг	0.3	0.1	1
Фулхэм	Манчестер Юнайтед	0.5	0.9	0
Фулхэм	Манчестер Сити	0.6	0.7	0
Фулхэм	Челси	0.6	0.6	0
Фулхэм	Арсенал	0.5	0.9	0
Фулхэм	Тоттенхэм Хотспур	0.3	0.4	0
Фулхэм	Эвертон	0.6	0.7	0.5
Фулхэм	Ливерпуль	0.1	0.6	0
