name1	name2	motivation1	motivation2
Ливерпуль	Манчестер Сити	0	0
Ливерпуль	Челси	1	1
Ливерпуль	Арсенал	0	0
Ливерпуль	Тоттенхэм Хотспур	0.9	0.9333333333333333
Ливерпуль	Эвертон	1	1
Ливерпуль	Вест Бромвич Альбион	0.9487179487179487	0.7435897435897436
Ливерпуль	Суонси Сити	0.8333333333333334	0.8611111111111112
Ливерпуль	Вест Хэм Юнайтед	0.8571428571428572	0.7619047619047619
Ливерпуль	Норвич Сити	0.9375	0.8541666666666666
Ливерпуль	Фулхэм	0.9206349206349206	0.9206349206349206
Ливерпуль	Сток Сити	0	0
Ливерпуль	Саутгемптон	0	0
Ливерпуль	Астон Вилла	0.9393939393939394	0.8333333333333334
Ливерпуль	Ньюкасл Юнайтед	0	0
Ливерпуль	Сандерленд	0.9074074074074074	0.9259259259259259
Ливерпуль	Уиган Атлетик	0	0
Ливерпуль	Рединг	0	0
Ливерпуль	Куинз Парк Рейнджерс	1	1
Вест Бромвич Альбион	Манчестер Юнайтед	1	1
Вест Бромвич Альбион	Манчестер Сити	0	0
Вест Бромвич Альбион	Челси	0	0
Вест Бромвич Альбион	Арсенал	0.6666666666666666	0.9047619047619048
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.8333333333333333	0.9761904761904762
Вест Бромвич Альбион	Эвертон	0	0
Вест Бромвич Альбион	Ливерпуль	0	0
Вест Бромвич Альбион	Суонси Сити	0.8333333333333333	0.8333333333333333
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.9848484848484849	0.9393939393939394
Вест Бромвич Альбион	Норвич Сити	0.9682539682539683	0.9682539682539683
Вест Бромвич Альбион	Фулхэм	0.9444444444444444	0.9444444444444444
Вест Бромвич Альбион	Сток Сити	0	0
Вест Бромвич Альбион	Саутгемптон	0	0
Вест Бромвич Альбион	Астон Вилла	0.9791666666666666	0.6875
Вест Бромвич Альбион	Ньюкасл Юнайтед	1	1
Вест Бромвич Альбион	Сандерленд	0.8611111111111112	0.8611111111111112
Вест Бромвич Альбион	Уиган Атлетик	1	1
Вест Бромвич Альбион	Рединг	0	0
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0	0
Суонси Сити	Манчестер Юнайтед	0.8888888888888888	0.9523809523809523
Суонси Сити	Манчестер Сити	1	1
Суонси Сити	Челси	0	0
Суонси Сити	Арсенал	0.8148148148148148	0.9259259259259259
