name1	name2	goal_diff	score_diff
Тоттенхэм Хотспур	Рединг	0.7717391304347826	0.7948717948717949
Тоттенхэм Хотспур	Куинз Парк Рейнджерс	0.7857142857142857	0.625
Эвертон	Манчестер Юнайтед	0.5	0.5
Эвертон	Манчестер Сити	0.35714285714285715	0.35416666666666663
Эвертон	Челси	0.3804347826086957	0.47435897435897434
Эвертон	Арсенал	0.43548387096774194	0.52
Эвертон	Тоттенхэм Хотспур	0.5151515151515151	0.4482758620689655
Эвертон	Ливерпуль	0.6666666666666666	0.6578947368421053
Эвертон	Вест Бромвич Альбион	0.5754716981132075	0.55
Эвертон	Суонси Сити	0.54	0.5897435897435898
Эвертон	Вест Хэм Юнайтед	0.6571428571428571	0.6416666666666666
Эвертон	Норвич Сити	0.7586206896551724	0.625
Эвертон	Фулхэм	0.647887323943662	0.6333333333333333
Эвертон	Сток Сити	0.6507936507936508	0.6372549019607843
Эвертон	Саутгемптон	0.8333333333333333	0.7916666666666667
Эвертон	Астон Вилла	0.8333333333333333	0.7441860465116279
Эвертон	Ньюкасл Юнайтед	0.5625	0.6
Эвертон	Сандерленд	0.6730769230769231	0.7
Эвертон	Уиган Атлетик	0.8194444444444444	0.7205882352941176
Эвертон	Рединг	0.711864406779661	0.6862745098039216
Эвертон	Куинз Парк Рейнджерс	0.7692307692307692	0.7592592592592593
Ливерпуль	Манчестер Юнайтед	0.14285714285714285	0.20833333333333331
Ливерпуль	Манчестер Сити	0.34615384615384615	0.33333333333333337
Ливерпуль	Челси	0.4117647058823529	0.4035087719298246
Ливерпуль	Арсенал	0.4	0.4444444444444444
Ливерпуль	Тоттенхэм Хотспур	0.5238095238095238	0.375
Ливерпуль	Эвертон	0.5774647887323944	0.4583333333333333
Ливерпуль	Вест Бромвич Альбион	0.7191780821917808	0.59375
Ливерпуль	Суонси Сити	0.5089285714285714	0.4895833333333333
Ливерпуль	Вест Хэм Юнайтед	0.7121212121212122	0.6111111111111112
Ливерпуль	Норвич Сити	0.6634615384615384	0.5609756097560976
Ливерпуль	Фулхэм	0.5147058823529411	0.5303030303030303
Ливерпуль	Сток Сити	0.41304347826086957	0.4411764705882353
Ливерпуль	Саутгемптон	0.6515151515151515	0.5714285714285714
Ливерпуль	Астон Вилла	0.696969696969697	0.609375
Ливерпуль	Ньюкасл Юнайтед	0.5	0.4285714285714286
Ливерпуль	Сандерленд	0.6	0.5714285714285714
Ливерпуль	Уиган Атлетик	0.5740740740740741	0.5217391304347826
Ливерпуль	Рединг	0.5434782608695652	0.5882352941176471
Ливерпуль	Куинз Парк Рейнджерс	0.8888888888888888	0.7619047619047619
Вест Бромвич Альбион	Манчестер Юнайтед	0.1736111111111111	0.18253968253968256
Вест Бромвич Альбион	Манчестер Сити	0.43478260869565216	0.47058823529411764
Вест Бромвич Альбион	Челси	0.37037037037037035	0.41304347826086957
Вест Бромвич Альбион	Арсенал	0.3	0.4166666666666667
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.39090909090909093	0.4111111111111111
Вест Бромвич Альбион	Эвертон	0.5	0.3888888888888889
Вест Бромвич Альбион	Суонси Сити	0.46875	0.5
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.5294117647058824	0.5606060606060606
Вест Бромвич Альбион	Норвич Сити	0.6323529411764706	0.5303030303030303
Вест Бромвич Альбион	Фулхэм	0.5978260869565217	0.6538461538461539
Вест Бромвич Альбион	Сток Сити	0.5757575757575758	0.625
Вест Бромвич Альбион	Саутгемптон	0.547945205479452	0.5625
Вест Бромвич Альбион	Астон Вилла	0.75	0.6707317073170732
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.6194029850746269	0.5701754385964912
Вест Бромвич Альбион	Сандерленд	0.5625	0.5833333333333334
Вест Бромвич Альбион	Уиган Атлетик	0.676056338028169	0.6333333333333333
Вест Бромвич Альбион	Рединг	0.6875	0.8
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.8529411764705883	0.8214285714285714
Суонси Сити	Манчестер Юнайтед	0.2857142857142857	0.2121212121212121
Суонси Сити	Манчестер Сити	0.28169014084507044	0.2583333333333333
Суонси Сити	Челси	0.27083333333333337	0.21052631578947367
Суонси Сити	Арсенал	0.3650793650793651	0.4270833333333333
Суонси Сити	Тоттенхэм Хотспур	0.40476190476190477	0.3627450980392157
Суонси Сити	Эвертон	0.65625	0.5
Суонси Сити	Ливерпуль	0.5161290322580645	0.5192307692307693
Суонси Сити	Вест Бромвич Альбион	0.4032258064516129	0.32
Суонси Сити	Вест Хэм Юнайтед	0.7	0.5
Суонси Сити	Норвич Сити	0.7121212121212122	0.5666666666666667
Суонси Сити	Фулхэм	0.5833333333333334	0.5476190476190477
Суонси Сити	Сток Сити	0.5769230769230769	0.5121951219512195
Суонси Сити	Саутгемптон	0.5597014925373134	0.5263157894736842
Суонси Сити	Астон Вилла	0.8152173913043479	0.6282051282051282
Суонси Сити	Ньюкасл Юнайтед	0.6186440677966102	0.5686274509803921
Суонси Сити	Сандерленд	0.8076923076923077	0.7777777777777778
Суонси Сити	Уиган Атлетик	0.6521739130434783	0.5882352941176471
Суонси Сити	Рединг	0.6764705882352942	0.6785714285714286
Суонси Сити	Куинз Парк Рейнджерс	0.7272727272727273	0.6888888888888889
Вест Хэм Юнайтед	Манчестер Юнайтед	0.13432835820895522	0.125
Вест Хэм Юнайтед	Манчестер Сити	0.35416666666666663	0.3157894736842105
Вест Хэм Юнайтед	Челси	0.33333333333333337	0.375
Вест Хэм Юнайтед	Арсенал	0.38235294117647056	0.5714285714285714
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.3082191780821918	0.296875
Вест Хэм Юнайтед	Эвертон	0.4117647058823529	0.4393939393939394
Вест Хэм Юнайтед	Ливерпуль	0.5151515151515151	0.5517241379310345
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.39682539682539686	0.39215686274509803
Вест Хэм Юнайтед	Суонси Сити	0.35185185185185186	0.41860465116279066
Вест Хэм Юнайтед	Норвич Сити	0.5869565217391304	0.47435897435897434
Вест Хэм Юнайтед	Фулхэм	0.2692307692307692	0.5
Вест Хэм Юнайтед	Сток Сити	0.5205479452054794	0.53125
Вест Хэм Юнайтед	Саутгемптон	0.6739130434782609	0.7058823529411764
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.6056338028169014	0.5416666666666666
Вест Хэм Юнайтед	Сандерленд	0.53125	0.7
Вест Хэм Юнайтед	Уиган Атлетик	0.5895522388059702	0.5701754385964912
Вест Хэм Юнайтед	Рединг	0.625	0.6190476190476191
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	0.6538461538461539	0.6463414634146342
Норвич Сити	Манчестер Юнайтед	0.07407407407407407	0.15217391304347827
Норвич Сити	Манчестер Сити	0.18292682926829268	0.3055555555555556
Норвич Сити	Челси	0.1388888888888889	0.3970588235294118
Норвич Сити	Арсенал	0.06521739130434784	0.23529411764705882
Норвич Сити	Тоттенхэм Хотспур	0.24528301886792453	0.3125
Норвич Сити	Эвертон	0.29464285714285715	0.36458333333333337
Норвич Сити	Ливерпуль	0.5	0.5416666666666666
Норвич Сити	Вест Бромвич Альбион	0.34285714285714286	0.4166666666666667
Норвич Сити	Суонси Сити	0.34615384615384615	0.4444444444444444
Норвич Сити	Вест Хэм Юнайтед	0.3	0.2777777777777778
Норвич Сити	Фулхэм	0.4181818181818182	0.5
Норвич Сити	Сток Сити	0.29166666666666663	0.4473684210526316
Норвич Сити	Саутгемптон	0.453125	0.5490196078431373
Норвич Сити	Астон Вилла	0.5070422535211268	0.5083333333333333
Норвич Сити	Ньюкасл Юнайтед	0.52	0.5641025641025641
Норвич Сити	Сандерленд	0.42424242424242425	0.55
Норвич Сити	Уиган Атлетик	0.5909090909090909	0.609375
Норвич Сити	Рединг	0.5447761194029851	0.5964912280701754
Норвич Сити	Куинз Парк Рейнджерс	0.5	0.5
Фулхэм	Манчестер Юнайтед	0.19444444444444442	0.13953488372093026
Фулхэм	Манчестер Сити	0.5666666666666667	0.5
Фулхэм	Челси	0.26119402985074625	0.3392857142857143
Фулхэм	Арсенал	0.23134328358208955	0.32456140350877194
Фулхэм	Тоттенхэм Хотспур	0.5	0.39285714285714285
Фулхэм	Эвертон	0.4791666666666667	0.4473684210526316
Фулхэм	Ливерпуль	0.24285714285714288	0.375
Фулхэм	Вест Бромвич Альбион	0.3666666666666667	0.2777777777777778
Фулхэм	Суонси Сити	0.3902439024390244	0.4444444444444444
Фулхэм	Вест Хэм Юнайтед	0.4863013698630137	0.4765625
Фулхэм	Сток Сити	0.49107142857142855	0.4583333333333333
Фулхэм	Саутгемптон	0.5833333333333334	0.5735294117647058
Фулхэм	Астон Вилла	0.717391304347826	0.6470588235294118
Фулхэм	Ньюкасл Юнайтед	0.5757575757575758	0.546875
Фулхэм	Сандерленд	0.6551724137931034	0.6458333333333334
Фулхэм	Уиган Атлетик	0.62	0.5769230769230769
Фулхэм	Рединг	0.6338028169014085	0.625
Фулхэм	Куинз Парк Рейнджерс	0.6384615384615384	0.6203703703703703
Сток Сити	Манчестер Юнайтед	0.12307692307692308	0.09433962264150941
Сток Сити	Манчестер Сити	0.4	0.2777777777777778
Сток Сити	Челси	0.31	0.3846153846153846
Сток Сити	Арсенал	0.5	0.5
Сток Сити	Тоттенхэм Хотспур	0.3	0.29166666666666663
Сток Сити	Эвертон	0.42424242424242425	0.453125
Сток Сити	Ливерпуль	0.4722222222222222	0.5
Сток Сити	Вест Бромвич Альбион	0.42063492063492064	0.3958333333333333
Сток Сити	Суонси Сити	0.3666666666666667	0.375
Сток Сити	Вест Хэм Юнайтед	0.5338983050847458	0.5294117647058824
Сток Сити	Норвич Сити	0.5633802816901409	0.49166666666666664
Сток Сити	Фулхэм	0.43103448275862066	0.4375
Сток Сити	Саутгемптон	0.6829268292682926	0.6666666666666666
Сток Сити	Астон Вилла	0.6307692307692307	0.537037037037037
Сток Сити	Ньюкасл Юнайтед	0.5967741935483871	0.54
Сток Сити	Сандерленд	0.5208333333333334	0.5
Сток Сити	Уиган Атлетик	0.625	0.6219512195121951
Сток Сити	Рединг	0.5727272727272728	0.5777777777777777
Сток Сити	Куинз Парк Рейнджерс	0.6730769230769231	0.625
Саутгемптон	Манчестер Юнайтед	0.4	0.33333333333333337
Саутгемптон	Манчестер Сити	0.16363636363636364	0.17777777777777776
Саутгемптон	Челси	0.19841269841269843	0.2647058823529412
Саутгемптон	Арсенал	0.18478260869565216	0.2948717948717949
Саутгемптон	Тоттенхэм Хотспур	0.20833333333333331	0.2368421052631579
Саутгемптон	Эвертон	0.3219178082191781	0.328125
Саутгемптон	Ливерпуль	0.24603174603174605	0.32291666666666663
Саутгемптон	Вест Бромвич Альбион	0.45774647887323944	0.45
Саутгемптон	Суонси Сити	0.21153846153846156	0.3
Саутгемптон	Вест Хэм Юнайтед	0.5153846153846153	0.5
